PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
49,0,3,male,32.8,0,1,338.06,S
50,0,3,female,30.8,1,0,69.94,S
51,1,3,male,44.9,0,0,47.82,Q
52,1,3,female,24.2,1,1,20.37,S
53,1,3,male,2.3,0,0,76.96,C
54,1,2,male,24.9,1,0,102.44,S
55,0,3,female,7.2,0,0,52.73,Q
56,1,3,female,35.8,0,0,20.31,S
57,0,3,male,6.6,0,0,35.04,S
58,0,3,male,16.2,0,0,4.15,S
59,0,3,female,24.9,1,0,6.88,S
60,0,2,female,51.6,0,0,61.12,S
61,0,2,male,15.0,0,0,1.19,S
62,0,1,male,30.2,0,0,2.02,S
63,1,3,female,38.1,0,0,28.37,C
64,0,1,female,50.8,2,1,7.48,S
65,0,1,female,40.9,1,0,13.91,S
66,0,3,male,45.3,0,0,20.36,S
67,0,3,male,42.1,1,0,29.55,C
68,1,3,male,13.1,0,1,13.34,C
69,0,3,male,35.0,0,0,26.43,S
70,1,3,male,41.9,0,0,18.52,C
71,1,3,male,16.6,0,1,3.38,C
72,0,3,male,21.9,0,1,80.73,Q
73,0,3,male,18.8,1,0,13.22,C
74,1,2,female,40.8,0,0,37.6,C
75,1,3,female,29.0,0,1,33.74,S
76,1,2,male,25.5,1,0,8.88,S
77,1,1,male,12.1,0,0,1.22,S
78,0,3,male,29.1,0,1,77.78,S
79,0,1,female,22.1,1,1,27.54,S
80,0,3,male,33.4,0,0,21.41,S
81,1,3,female,14.0,0,0,57.57,S
82,1,3,male,32.5,0,0,1.35,S
83,0,3,male,23.9,0,0,57.96,S
84,0,3,female,12.5,0,0,21.03,S
85,0,1,male,11.4,0,0,32.08,C
86,0,3,male,13.5,1,0,55.84,S
87,1,3,male,27.1,1,0,31.66,S
88,1,2,male,31.7,4,0,2.55,S
89,1,3,male,33.8,1,0,52.17,C
90,0,1,male,34.3,1,0,61.74,S
91,0,1,female,19.4,0,1,24.79,C
92,1,1,female,44.8,1,0,23.13,S
93,1,2,female,23.8,1,0,11.61,S
94,0,3,male,36.3,0,0,41.33,Q
95,1,3,male,27.7,0,0,85.48,S
96,0,2,male,35.3,0,0,42.68,S
97,0,3,male,27.0,3,0,59.02,S
98,0,3,male,35.5,0,1,72.67,S
99,0,2,female,29.9,0,0,10.25,S
100,0,1,male,41.4,0,0,20.57,S
101,0,3,female,18.5,0,0,22.91,S
102,1,3,male,5.2,0,0,32.74,S
103,0,3,male,16.4,0,0,2.02,S
104,0,2,male,45.0,1,0,35.51,C
105,1,3,male,27.8,0,1,3.71,S
106,0,1,male,31.3,0,1,65.71,Q
107,0,2,female,15.2,1,1,131.9,Q
108,1,3,female,30.9,0,1,13.69,S
109,0,2,female,15.7,1,0,28.26,S
110,0,1,male,17.7,0,0,69.31,S
111,0,2,female,24.4,1,1,15.11,S
112,0,1,female,36.2,0,0,6.87,S
113,1,3,male,37.7,0,1,53.74,Q
114,1,3,female,38.1,0,0,47.94,S
115,1,1,male,7.8,0,0,33.75,S
116,1,1,male,29.9,0,2,115.61,Q
117,1,1,male,27.2,1,0,124.15,C
118,0,3,male,8.5,0,0,79.09,S
119,1,1,male,30.2,0,0,13.87,S
120,0,3,male,26.5,1,0,10.21,S
121,1,1,female,37.2,0,1,72.25,Q
122,1,2,female,31.1,0,0,42.15,S
123,0,3,female,22.3,0,0,20.18,S
124,0,3,male,43.0,0,1,21.09,S
125,0,1,male,0.0,0,0,76.78,S
126,0,3,male,29.1,0,1,7.13,S
127,1,3,female,5.3,0,0,115.28,S
128,1,3,male,17.2,0,0,40.12,C
129,0,3,male,37.3,0,0,62.69,C
130,0,3,female,12.2,0,0,18.54,S
131,0,3,male,10.1,0,0,35.36,Q
132,0,1,male,63.3,1,0,55.45,S
133,0,3,female,11.0,1,0,22.85,S
134,0,3,male,53.1,0,2,26.77,S
135,1,1,male,27.6,1,2,34.9,S
136,0,1,male,22.7,0,0,2.62,S
137,0,1,male,37.9,0,2,79.57,Q
138,1,3,male,48.7,0,1,80.6,S
139,0,3,female,14.0,1,0,13.22,S
140,1,3,male,22.9,2,0,84.75,Q
141,1,1,female,41.9,0,0,54.69,C
142,0,3,male,34.0,0,0,26.4,Q
143,0,3,male,45.4,0,0,17.09,S
144,0,2,female,37.2,0,0,20.39,S
145,0,3,female,55.3,0,0,30.58,C
146,0,3,male,32.5,0,0,21.28,S
147,0,3,female,33.1,1,0,21.81,S
148,0,3,male,34.5,0,1,9.08,S
149,0,3,male,28.0,0,0,49.21,S
150,0,2,female,41.9,2,0,37.62,S
151,1,3,male,33.3,1,1,192.64,S
152,0,2,male,41.0,1,0,6.09,S
153,0,2,male,43.2,0,1,4.83,S
154,0,1,male,36.0,0,0,29.02,S
155,1,3,male,37.0,0,0,6.59,C
156,0,2,male,15.9,1,0,37.73,S
157,1,1,male,22.3,0,0,8.73,S
158,1,1,male,41.8,0,0,26.39,S
159,0,3,male,49.9,0,3,37.8,S
160,1,3,male,2.8,0,0,24.5,Q
161,0,3,male,22.0,1,0,15.43,S
162,1,3,female,30.3,0,0,60.99,S
163,1,3,female,17.7,1,0,77.15,S
164,0,2,female,18.5,0,0,13.03,Q
165,0,3,male,36.6,0,0,67.15,S
166,1,1,male,52.1,0,1,19.88,S
167,0,2,male,1.6,0,0,26.75,S
168,0,2,female,27.6,0,0,10.55,C
169,0,3,male,36.5,1,0,39.31,S
170,0,3,female,40.9,1,0,4.26,S
171,1,3,female,34.5,0,0,35.82,S
172,0,1,male,54.7,0,0,183.09,S
173,0,3,male,30.4,1,0,56.01,S
174,0,2,male,48.4,0,1,90.17,S
175,1,1,male,21.0,0,1,24.96,S
176,0,1,male,30.8,1,0,6.13,C
177,1,3,female,13.0,0,0,13.61,C
178,0,2,male,42.6,0,0,2.01,S
179,1,3,male,28.3,1,0,27.87,S
180,0,3,male,35.0,0,0,41.95,C
181,0,3,female,25.6,1,0,22.1,S
182,0,3,female,38.2,0,0,33.13,Q
183,1,2,female,35.6,0,0,15.47,S
184,1,2,female,16.1,0,0,3.59,Q
185,0,3,male,16.9,1,1,22.63,C
186,1,3,male,29.6,0,0,31.75,S
187,1,3,male,39.2,0,0,162.13,S
188,0,3,male,56.1,1,1,17.06,Q
189,0,1,female,34.2,0,0,45.3,C
190,0,1,male,44.1,0,0,69.18,S
191,0,3,male,7.4,3,0,16.34,S
192,1,2,male,58.2,0,0,106.33,S
193,1,1,male,38.5,0,0,16.55,S
194,1,3,female,29.3,1,0,140.0,S
195,0,1,male,27.7,0,0,0.09,S
196,0,3,female,14.5,0,1,40.22,S
197,1,3,male,18.5,1,0,62.41,S
198,1,3,male,56.7,0,1,13.14,S
199,1,1,female,16.2,1,0,4.98,S
200,1,1,female,15.9,1,1,0.99,S
201,1,3,male,20.2,0,1,3.09,C
202,0,1,male,13.2,0,1,31.33,S
203,0,2,male,30.2,1,0,73.1,Q
204,1,2,male,45.2,1,0,2.61,S
205,0,1,female,21.5,0,1,4.8,C
206,0,1,male,10.8,0,0,0.2,C
207,0,3,female,34.1,3,0,13.27,S
208,1,1,female,29.2,1,0,101.66,C
209,0,1,male,44.0,0,1,12.93,C
210,0,3,male,23.6,1,0,23.25,C
211,0,3,male,26.4,2,0,7.89,S
212,1,2,male,27.9,0,0,4.94,S
213,1,1,male,31.2,0,0,8.06,S
214,0,3,male,24.5,0,0,9.45,S
215,1,3,female,22.2,0,1,5.58,S
216,0,3,male,4.1,0,0,62.72,C
217,0,3,female,22.1,0,0,25.95,S
218,1,2,male,40.0,0,0,31.04,S
219,1,3,female,41.9,1,0,18.78,C
220,1,1,female,23.4,1,0,9.47,S
221,1,3,male,48.2,1,0,3.94,C
222,0,3,female,29.6,1,0,3.16,C
223,0,3,male,11.3,1,0,8.19,S
224,0,2,female,6.9,0,0,75.93,C
225,0,1,female,47.1,1,0,9.76,C
226,0,3,male,24.8,0,0,17.53,C
227,1,3,male,13.0,0,1,34.02,C
228,0,3,male,0.0,0,0,28.65,C
229,1,1,male,24.5,0,0,43.84,S
230,1,2,female,35.7,0,0,8.64,C
231,1,3,female,20.2,0,0,29.7,S
232,0,2,male,15.3,0,0,58.4,S
233,0,3,female,22.3,0,0,19.61,S
234,0,3,female,47.4,2,0,142.87,C
235,0,3,male,10.5,2,0,34.51,S
236,1,3,male,21.0,1,0,44.94,S
237,0,3,male,47.0,1,1,24.58,C
238,0,2,female,36.9,0,1,78.04,S
239,1,3,female,32.5,1,0,24.02,S
240,0,2,male,20.9,0,0,114.09,S
241,1,3,male,30.4,0,0,14.7,S
242,1,1,female,22.5,1,0,80.34,C
243,1,3,female,18.0,0,0,40.79,C
244,0,2,female,14.9,0,0,64.19,S
245,0,2,male,41.0,0,0,1.54,S
246,1,3,male,29.2,0,1,12.99,Q
247,0,1,male,34.4,2,0,75.11,S
248,1,3,male,32.1,2,0,15.33,C
249,1,3,female,36.2,0,1,49.88,S
250,1,1,male,26.4,0,0,194.09,S
251,0,3,female,23.3,0,1,7.8,S
252,0,2,male,18.6,1,0,21.62,S
253,1,1,female,10.2,1,0,7.22,S
254,0,2,male,14.3,1,0,6.7,C
255,0,3,male,24.9,0,0,40.1,S
256,0,1,male,7.6,1,0,8.5,Q
257,1,3,male,10.6,1,0,26.36,S
258,1,3,female,44.6,0,1,152.56,C
259,0,3,male,33.1,0,0,16.21,S
260,0,1,male,23.7,1,1,82.74,S
261,0,3,female,61.8,1,0,20.19,S
262,1,3,female,6.9,0,0,12.2,S
263,0,3,male,43.7,0,0,16.39,S
264,0,3,female,28.4,3,0,5.46,S
265,1,3,male,41.0,0,0,45.45,S
266,1,1,male,31.5,1,0,28.45,S
267,1,3,male,3.8,0,0,38.06,S
268,1,2,male,31.3,0,1,14.44,S
269,0,2,male,34.7,0,0,42.39,C
270,0,3,male,0.0,0,0,7.19,S
271,1,2,male,57.2,2,0,42.28,Q
272,1,2,female,34.4,0,0,3.38,S
273,1,3,male,39.4,1,0,20.45,S
274,1,1,female,13.7,1,0,37.64,S
275,0,3,female,39.7,0,0,77.33,S
276,0,3,male,45.3,1,0,66.94,S
277,1,3,male,33.5,0,0,29.94,S
278,1,3,male,29.9,0,0,85.95,S
279,1,2,female,17.5,0,0,28.2,Q
280,1,2,male,27.0,0,0,29.12,S
281,1,2,male,22.8,0,1,51.0,C
282,0,2,female,38.0,1,0,84.08,S
283,0,3,male,18.1,0,0,36.92,S
284,0,3,male,37.9,1,0,115.43,C
285,0,1,male,18.3,2,1,10.59,S
286,0,1,female,26.3,1,1,103.24,Q
287,0,2,female,38.6,1,1,10.02,C
288,0,1,male,20.1,1,1,29.9,Q
289,0,3,male,39.1,0,1,63.59,S
290,0,1,female,37.7,0,0,64.7,S
291,0,3,female,26.2,2,0,13.04,Q
292,0,1,female,46.3,0,0,170.45,S
293,1,2,male,31.1,1,0,3.36,S
294,0,3,female,45.4,0,2,1.42,S
295,0,3,male,55.1,0,0,73.69,S
296,0,3,male,26.6,0,0,68.37,S
297,1,3,female,39.0,2,0,49.91,C
298,0,2,male,21.1,1,0,76.09,S
299,1,1,female,15.5,1,0,5.92,S
300,0,3,male,27.3,1,1,4.02,C
301,0,3,female,10.9,0,1,139.47,S
302,0,3,male,16.9,1,0,39.15,S
303,0,1,female,38.3,1,0,100.95,Q
304,1,3,male,22.8,0,0,94.77,C
305,1,2,male,39.9,1,0,42.35,C
306,1,3,female,34.2,0,0,39.61,Q
307,0,3,male,55.9,0,0,17.85,S
308,0,1,male,37.3,0,0,6.46,Q
309,1,3,male,45.6,0,2,46.41,Q
310,0,2,female,35.6,0,0,68.12,S
311,0,3,male,34.4,1,0,31.47,S
312,0,2,male,46.3,2,0,2.09,S
313,0,3,male,39.4,0,1,6.26,S
314,1,1,female,32.9,0,0,4.3,S
315,1,3,male,32.9,0,0,42.9,S
316,1,3,male,37.5,0,0,33.28,S
317,0,3,female,20.6,2,0,25.13,S
318,0,1,female,20.0,0,0,31.36,S
319,0,3,male,50.0,0,0,12.92,S
320,0,1,female,56.1,1,2,65.33,S
321,0,3,male,17.0,1,0,15.93,S
322,1,2,male,20.6,1,0,41.35,S
323,1,3,male,46.0,0,1,19.83,S
324,0,1,female,37.5,0,0,3.0,S
325,1,1,male,39.5,1,1,11.88,S
326,1,2,male,42.6,1,0,134.21,S
327,0,2,male,26.6,0,0,8.46,C
328,0,1,female,34.6,0,0,4.43,S
329,0,3,male,33.5,0,0,13.76,S
330,0,3,male,18.0,0,0,84.13,S
331,0,3,male,34.4,3,0,14.61,S
332,1,3,female,47.3,0,0,21.61,S
333,0,1,female,25.3,0,1,14.85,S
334,0,3,male,32.1,0,0,180.3,S
335,0,1,female,32.9,0,0,359.52,C
336,0,3,male,26.0,1,0,26.37,S
337,1,2,female,39.5,0,0,61.45,S
338,1,2,male,20.5,0,0,9.94,Q
339,0,2,male,48.7,0,1,18.76,C
340,0,3,female,38.8,2,0,45.49,S
341,0,1,female,16.9,1,0,13.49,S
342,0,3,male,53.8,0,0,10.18,S
343,0,1,male,32.4,0,0,102.16,S
344,0,3,male,19.9,1,1,11.2,S
345,0,3,female,45.5,0,0,2.44,S
346,0,2,male,36.9,0,0,55.63,C
347,1,3,male,5.2,0,1,11.15,S
348,0,3,male,22.6,1,0,23.93,S
349,0,3,female,33.9,2,0,4.73,C
350,1,3,male,0.0,0,1,2.84,S
351,0,3,male,31.2,0,0,24.68,S
352,1,3,male,32.2,0,0,16.44,S
353,1,1,male,13.4,0,0,28.2,S
354,0,3,male,33.8,0,0,135.0,S
355,0,2,female,30.1,1,2,20.93,Q
356,1,1,female,13.3,1,0,36.92,Q
357,0,3,male,42.9,0,0,4.11,S
358,0,2,female,41.7,0,0,86.83,C
359,1,1,male,25.9,0,0,65.57,S
360,0,3,male,27.2,0,0,29.56,S
361,0,3,female,40.2,0,1,8.1,S
362,1,3,male,27.2,0,0,22.2,S
363,0,3,male,3.0,0,2,14.12,Q
364,0,3,female,36.8,1,0,208.24,S
365,1,1,male,18.6,1,1,27.0,C
366,0,2,female,24.5,0,0,21.94,C
367,1,3,female,50.4,2,1,7.41,Q
368,1,2,male,28.1,0,0,10.93,S
369,0,3,male,30.0,0,0,49.73,Q
370,0,3,male,37.1,0,0,30.62,S
371,0,2,male,37.1,0,2,17.73,C
372,0,3,male,17.1,1,0,14.1,S
373,0,3,female,29.2,0,1,8.96,S
374,1,3,male,30.5,0,0,1.38,S
375,0,3,male,33.8,1,0,151.15,S
376,0,3,male,34.0,1,0,55.95,C
377,1,1,male,66.2,1,0,105.17,S
378,0,3,female,13.5,1,0,21.28,S
379,1,3,male,43.7,1,0,81.42,S
380,0,3,female,46.6,0,0,11.84,S
381,0,3,male,36.9,0,0,28.52,C
382,1,3,male,20.9,1,1,9.05,S
383,1,2,male,53.3,0,0,58.85,S
384,1,3,male,0.0,0,0,27.53,S
385,1,3,male,20.4,0,0,30.74,Q
386,1,1,male,46.4,1,1,78.49,Q
387,0,1,female,24.8,0,0,53.76,S
388,0,3,male,52.4,0,0,135.57,C
389,1,3,female,8.8,0,0,20.79,Q
390,1,3,male,14.4,0,0,24.76,Q
391,1,3,male,22.6,0,0,38.22,S
392,0,3,male,35.8,0,0,24.16,S
393,0,3,male,26.9,0,0,21.76,S
394,1,3,female,23.1,1,1,16.66,S
395,0,1,male,49.9,1,0,71.32,S
396,1,3,male,51.2,1,1,30.5,S
397,1,3,male,24.2,0,0,37.4,C
398,0,3,male,6.1,1,0,9.13,C
399,1,3,female,0.0,0,0,11.6,S
400,1,3,male,33.4,0,0,16.61,S
401,0,1,female,39.2,0,1,25.05,S
402,1,2,male,30.9,2,0,1.8,C
403,0,1,female,29.0,1,0,87.71,C
404,1,1,female,18.7,1,0,93.62,S
405,0,3,male,39.2,0,1,43.35,S
406,1,1,male,53.5,0,0,15.19,Q
407,0,2,female,0.0,3,0,19.47,S
408,0,3,male,28.9,0,0,52.98,S
409,1,3,female,16.4,0,1,13.49,S
410,0,1,male,9.1,2,0,37.55,S
411,0,3,male,14.2,1,1,94.69,S
412,1,3,female,35.3,0,1,21.14,S
413,1,1,male,35.7,0,0,35.38,S
414,0,2,male,50.4,0,2,105.57,S
415,1,3,male,30.1,1,0,16.66,S
416,0,3,male,5.4,1,0,57.02,S
417,0,3,female,26.7,0,0,56.28,S
418,0,1,female,10.6,1,0,105.52,S
419,1,2,female,13.1,1,0,78.24,S
420,1,3,male,38.1,4,1,55.26,S
421,1,1,male,32.7,1,1,40.48,C
422,1,3,female,38.2,0,0,11.04,S
423,0,3,male,25.0,1,0,44.43,S
424,0,2,male,41.1,0,0,12.94,S
425,0,3,female,24.2,1,2,23.19,Q
426,0,3,male,45.6,1,1,49.47,S
427,0,2,male,34.8,0,0,44.94,C
428,1,3,male,27.1,0,0,20.51,C
429,0,1,male,33.0,1,0,8.07,Q
430,0,3,male,29.7,2,0,26.48,S
431,0,1,female,52.3,0,1,12.59,S
432,1,1,male,33.4,0,0,11.8,C
433,0,3,male,30.0,1,1,15.83,S
434,0,3,female,26.7,0,0,49.0,S
435,0,3,male,41.8,0,1,27.51,S
436,1,2,male,39.9,1,0,18.68,C
437,0,2,male,26.2,0,1,92.34,S
438,1,3,female,13.8,2,1,49.07,S
439,1,3,male,17.4,0,0,27.3,S
440,0,2,male,27.4,0,0,21.88,S
441,0,3,male,48.9,0,1,68.35,S
442,1,3,male,26.5,0,1,7.59,S
443,0,3,male,21.7,0,0,43.64,Q
444,0,3,female,5.3,0,0,0.85,S
445,1,2,male,51.2,0,0,0.28,Q
446,1,3,female,38.0,0,1,107.4,S
447,1,2,male,41.1,1,0,28.86,S
448,1,3,male,43.5,0,0,15.14,S
449,0,3,male,27.7,0,0,63.33,S
450,0,3,female,31.2,0,0,167.53,C
451,1,3,female,50.8,1,0,1.4,S
452,0,3,female,32.5,0,0,1.55,S
453,0,3,female,38.2,2,1,77.18,S
454,1,3,female,42.2,0,1,32.54,S
455,0,3,male,39.0,2,0,85.74,S
456,0,3,male,28.2,0,0,47.45,S
457,0,2,male,29.5,1,2,25.44,S
458,0,2,male,40.9,1,0,7.04,Q
459,0,1,male,40.9,0,0,19.76,S
460,0,3,male,46.4,0,0,61.89,S
461,0,3,male,37.7,1,1,10.66,S
462,1,3,male,38.4,1,0,49.84,S
463,1,3,male,23.8,0,0,11.37,S
464,0,3,male,21.9,0,1,24.91,Q
465,1,1,female,40.9,1,0,3.57,S
466,0,2,male,22.0,0,0,24.28,S
467,0,2,male,29.7,0,0,37.94,S
468,1,2,female,49.3,1,0,33.14,S
469,0,3,male,47.1,0,0,20.87,S
470,1,3,male,34.2,0,0,18.46,S
471,0,3,male,25.9,2,1,12.89,S
472,1,3,male,28.3,0,0,58.29,S
473,0,3,male,42.1,1,1,61.05,S
474,1,1,male,29.5,0,0,26.39,S
475,0,3,male,22.2,0,0,19.29,C
476,1,2,female,47.0,0,1,40.58,S
477,0,2,male,32.5,1,1,32.63,S
478,0,1,male,21.9,0,0,44.02,S
479,1,3,male,36.7,0,1,14.61,C
480,0,2,male,43.6,2,0,62.11,S
481,1,2,female,15.9,1,0,15.24,C
482,1,3,male,27.2,1,0,21.7,S
483,0,3,female,26.5,0,0,5.68,Q
484,1,2,male,36.3,0,0,77.34,S
485,0,1,female,38.8,0,0,41.34,S
486,1,3,male,22.3,2,0,10.73,C
487,0,1,male,9.1,0,0,76.35,C
488,0,3,female,44.4,1,1,48.8,S
489,1,3,female,14.3,1,0,23.35,S
490,1,2,male,33.8,0,0,183.58,S
491,0,2,female,28.2,1,0,16.45,S
492,1,1,male,32.3,0,0,4.19,S
493,0,1,male,53.1,1,0,52.89,S
494,0,1,male,72.5,0,0,56.6,S
495,0,3,female,7.1,0,0,2.43,S
496,0,1,female,43.8,0,1,68.46,S
497,0,3,male,27.8,0,0,59.83,S
498,0,3,male,44.7,1,0,106.14,S
499,1,2,male,43.4,1,0,5.05,S
500,1,1,male,49.7,0,0,36.73,S
501,1,1,male,34.0,1,0,9.91,S
502,0,1,male,17.5,0,0,20.4,C
503,0,3,male,43.0,0,0,12.32,S
504,1,2,male,31.7,0,0,23.86,S
505,1,3,male,26.7,1,0,4.79,S
506,0,2,female,23.3,1,0,14.47,C
507,1,3,male,44.1,0,0,2.94,S
508,1,3,male,52.4,3,0,27.08,S
509,1,3,male,13.3,0,0,14.08,S
510,1,2,male,38.7,0,0,35.69,Q
511,0,1,male,24.8,1,1,24.39,S
512,0,3,female,9.5,1,1,11.18,S
513,1,2,female,32.1,0,0,4.35,S
514,1,3,female,18.3,0,0,55.99,S
515,0,3,male,7.9,1,0,40.11,Q
516,0,3,male,19.1,0,0,1.34,S
517,0,3,male,15.6,0,0,181.75,Q
518,1,3,female,20.9,0,0,41.14,S
519,1,3,female,11.4,0,0,9.29,S
520,0,3,male,24.5,0,1,73.43,C
521,0,3,male,20.0,0,0,85.52,S
522,0,3,female,35.3,0,1,34.1,S
523,1,3,male,38.3,0,0,86.71,C
524,1,2,female,33.6,0,0,1.18,S
525,1,2,female,26.7,1,0,116.14,C
526,0,3,male,26.3,0,0,2.36,S
527,0,3,female,18.3,1,0,41.13,S
528,0,1,female,18.6,0,0,16.98,S
529,0,3,female,39.9,1,0,1.6,S
530,1,1,male,5.4,2,0,105.97,S
531,1,3,male,28.9,0,0,5.82,S
532,1,3,male,25.5,0,0,76.9,S
533,1,3,male,38.4,0,0,16.04,Q
534,0,1,male,10.0,1,0,54.06,S
535,1,3,male,30.2,0,0,11.73,S
536,1,2,female,34.8,0,1,35.03,Q
537,1,2,male,3.3,0,0,64.29,Q
538,0,1,male,15.0,0,0,33.41,S
539,0,3,male,28.7,0,0,14.64,S
540,0,3,female,37.2,1,0,10.63,C
541,1,1,male,32.6,0,1,7.69,Q
542,0,3,male,37.8,0,0,73.01,C
543,0,3,female,14.9,0,0,37.76,S
544,1,3,male,7.8,0,0,28.43,C
545,0,3,male,31.2,0,0,11.48,S
546,0,2,female,12.8,0,0,22.75,S
547,0,3,female,17.9,0,1,38.71,S
548,1,3,male,43.1,0,1,2.98,S
549,0,2,female,32.6,1,0,17.9,S
550,1,1,female,22.0,1,0,10.95,S
551,0,2,male,20.2,1,0,41.6,S
552,1,2,male,38.7,0,1,37.28,S
553,0,3,male,33.0,3,0,14.23,C
554,0,3,male,13.0,0,0,1.7,S
555,1,3,male,2.7,0,1,8.08,S
556,0,3,female,56.3,2,0,6.98,S
557,0,1,male,12.9,1,1,33.61,S
558,0,3,female,37.4,0,0,7.42,S
559,1,2,male,51.1,0,0,26.34,S
560,1,3,male,32.1,0,0,38.13,C
561,1,1,male,21.6,0,0,84.67,Q
562,0,3,male,10.0,0,0,11.24,C
563,0,1,male,9.8,0,0,8.23,S
564,0,1,female,35.3,0,1,7.61,S
565,0,1,male,50.3,1,1,17.88,S
566,0,3,male,24.5,0,0,41.9,S
567,0,3,female,22.2,0,0,44.57,Q
568,0,2,male,39.8,1,0,9.48,S
569,1,3,male,20.4,1,0,5.63,S
570,0,3,male,33.8,0,0,23.82,S
571,0,3,female,30.6,0,0,6.09,S
572,1,3,male,24.3,0,0,67.05,S
573,0,2,male,29.8,0,0,3.5,S
574,1,2,male,54.7,0,1,55.79,C
575,1,3,female,38.5,0,1,1.74,C
576,1,3,male,45.3,0,0,65.8,C
577,0,3,female,17.1,1,1,39.46,S
578,1,3,female,45.3,0,0,15.57,C
579,0,1,male,38.9,0,0,20.8,S
580,0,3,female,9.0,0,0,44.79,Q
581,0,2,female,37.6,0,0,8.21,S
582,1,3,male,22.8,1,0,88.41,C
583,0,3,male,8.4,0,0,26.38,S
584,0,3,male,31.8,0,0,57.11,S
585,1,3,male,37.5,0,0,28.27,S
586,0,2,female,32.1,1,1,24.08,S
587,0,1,male,28.5,3,0,25.37,S
588,0,3,male,25.4,0,0,18.05,C
589,0,3,female,64.5,0,2,52.78,Q
590,0,1,male,13.4,1,0,74.87,S
591,0,3,male,42.2,2,1,77.07,S
592,1,3,female,30.2,0,0,5.17,C
593,0,2,male,18.0,0,1,57.31,S
594,0,2,female,29.3,0,1,8.92,S
595,1,3,male,10.5,0,1,0.49,S
596,0,3,male,21.7,2,0,12.89,S
597,1,3,male,29.3,0,1,13.86,C
598,0,3,male,8.3,0,1,66.38,S
599,0,1,female,37.1,0,0,54.25,Q
600,0,3,female,16.5,0,0,3.54,S
601,0,1,female,9.7,0,0,15.78,C
602,0,1,male,14.9,2,0,11.58,S
603,0,3,female,60.5,1,0,36.2,S
604,0,3,female,2.3,1,0,31.19,S
605,0,2,male,36.1,0,1,45.44,S
606,0,1,female,19.5,0,0,96.64,S
607,0,3,male,25.1,0,2,21.86,S
608,0,3,male,38.5,2,0,42.68,S
609,0,3,female,37.8,1,0,100.21,Q
610,1,3,male,20.5,0,0,31.21,C
611,0,3,male,11.0,1,0,14.74,C
612,1,3,male,38.7,0,0,20.63,C
613,1,1,female,37.7,1,0,56.2,S
614,0,2,male,26.0,0,0,50.92,C
615,1,2,male,36.2,0,1,55.2,C
616,1,3,male,23.8,0,0,54.39,S
617,0,3,male,18.4,1,0,101.26,C
618,0,3,female,30.1,0,1,57.76,C
619,1,1,male,37.3,2,0,77.36,S
620,1,1,male,34.3,1,0,34.11,S
621,0,2,male,37.1,1,0,41.33,C
622,0,2,female,19.4,0,1,137.33,Q
623,0,3,male,52.1,1,1,81.7,S
624,0,3,female,25.2,0,0,60.09,Q
625,0,3,male,28.3,0,0,46.27,S
626,0,3,male,11.5,0,0,17.76,C
627,0,3,female,27.3,0,1,31.77,S
628,1,3,female,37.5,0,1,2.27,S
629,0,1,female,40.7,0,0,21.53,C
